id, name
1, The ritual has the opposite affect
2, You are sapped of strength and suffer -1 strength 
3, An important object is destroyed
4, You collapse and drift into a dreamless sleep suffer loss of turn.
5, Ghostly voices whisper of dark portents 
6, Envision what they tell you and suffer -1 all action this turn
7, You alert someone or something to your presence
8, You affect or damage your surroundings causing a disturbance or potential harm
9, Creatures exhibit strange or aggressive behavior
10, The ritual affects the target in an unexpected and problematic way
11, You are tempted by dark powers. Envision what you are shown and suffer -1 all actions this turns
12, Roll twice more on this table - Both results occur - If they are the same result make it worse
